# Eigener Fahrzyklus - Vorlage fuer CAE-Orchestrator (ema.html -> Zyklus: Custom CSV)
# Format: zwei Spalten  t_s , v_kmh   (Zeit in Sekunden, Geschwindigkeit in km/h)
# - Trennzeichen ',' oder ';' werden erkannt; Kopfzeile ist optional.
# - Zeilen mit '#' werden ignoriert. Abtastung wird automatisch auf 1 Hz interpoliert.
# - Tipp: t bei 0 beginnen, monoton steigend; v >= 0. Steigung wird (noch) nicht eingelesen.
# Ersetze die Beispieldaten unten durch dein eigenes Profil.
t_s,v_kmh
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,4.2
7,8.3
8,12.5
9,16.7
10,20.8
11,25.0
12,29.2
13,33.3
14,37.5
15,41.7
16,45.8
17,50.0
18,50.0
19,50.0
20,50.0
21,50.0
22,50.0
23,50.0
24,50.0
25,50.0
26,50.0
27,50.0
28,50.0
29,50.0
30,50.0
31,50.0
32,50.0
33,50.0
34,50.0
35,50.0
36,50.0
37,50.0
38,45.0
39,40.0
40,35.0
41,30.0
42,25.0
43,20.0
44,15.0
45,10.0
46,5.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,4.5
54,9.1
55,13.6
56,18.2
57,22.7
58,27.3
59,31.8
60,36.4
61,40.9
62,45.5
63,50.0
64,54.5
65,59.1
66,63.6
67,68.2
68,72.7
69,77.3
70,81.8
71,86.4
72,90.9
73,95.5
74,100.0
75,100.0
76,100.0
77,100.0
78,100.0
79,100.0
80,100.0
81,100.0
82,100.0
83,100.0
84,100.0
85,100.0
86,100.0
87,100.0
88,100.0
89,100.0
90,100.0
91,100.0
92,100.0
93,100.0
94,100.0
95,100.0
96,100.0
97,100.0
98,100.0
99,100.0
100,100.0
101,100.0
102,100.0
103,100.0
104,100.0
105,100.0
106,100.0
107,100.0
108,100.0
109,100.0
110,97.5
111,95.0
112,92.5
113,90.0
114,87.5
115,85.0
116,82.5
117,80.0
118,80.0
119,80.0
120,80.0
121,80.0
122,80.0
123,80.0
124,80.0
125,80.0
126,80.0
127,80.0
128,80.0
129,80.0
130,80.0
131,80.0
132,80.0
133,75.0
134,70.0
135,65.0
136,60.0
137,55.0
138,50.0
139,45.0
140,40.0
141,35.0
142,30.0
143,25.0
144,20.0
145,15.0
146,10.0
147,5.0
148,0.0
149,0.0
150,0.0
